year,basis_rate,source
1900,4.151610,jst_deu_ltrate_affine_proxy
1901,4.124033,jst_deu_ltrate_affine_proxy
1902,4.004530,jst_deu_ltrate_affine_proxy
1903,4.013722,jst_deu_ltrate_affine_proxy
1904,4.050492,jst_deu_ltrate_affine_proxy
1905,4.050492,jst_deu_ltrate_affine_proxy
1906,4.105648,jst_deu_ltrate_affine_proxy
1907,4.215958,jst_deu_ltrate_affine_proxy
1908,4.261921,jst_deu_ltrate_affine_proxy
1909,4.169995,jst_deu_ltrate_affine_proxy
1910,4.225150,jst_deu_ltrate_affine_proxy
1911,4.252728,jst_deu_ltrate_affine_proxy
1912,4.363038,jst_deu_ltrate_affine_proxy
1913,4.528504,jst_deu_ltrate_affine_proxy
1914,4.579063,jst_deu_ltrate_affine_proxy
1915,6.123409,jst_deu_ltrate_affine_proxy
1916,6.796302,jst_deu_ltrate_affine_proxy
1917,6.256700,jst_deu_ltrate_affine_proxy
1918,6.256700,jst_deu_ltrate_affine_proxy
1919,6.646464,jst_deu_ltrate_affine_proxy
1920,6.264054,jst_deu_ltrate_affine_proxy
1921,6.009421,jst_deu_ltrate_affine_proxy
1922,6.704683,jst_deu_ltrate_interpolated_affine_proxy
1923,7.399945,jst_deu_ltrate_interpolated_affine_proxy
1924,8.095207,jst_deu_ltrate_affine_proxy
1925,8.040052,jst_deu_ltrate_affine_proxy
1926,5.806266,jst_deu_ltrate_affine_proxy
1927,6.311855,jst_deu_ltrate_affine_proxy
1928,6.523284,jst_deu_ltrate_affine_proxy
1929,6.725519,jst_deu_ltrate_affine_proxy
1930,6.449743,jst_deu_ltrate_affine_proxy
1931,6.412973,jst_deu_ltrate_affine_proxy
1932,7.479307,jst_deu_ltrate_affine_proxy
1933,6.890985,jst_deu_ltrate_affine_proxy
1934,6.587631,jst_deu_ltrate_affine_proxy
1935,5.089249,jst_deu_ltrate_affine_proxy
1936,5.034093,jst_deu_ltrate_affine_proxy
1937,4.905398,jst_deu_ltrate_affine_proxy
1938,4.942168,jst_deu_ltrate_affine_proxy
1939,4.942168,jst_deu_ltrate_affine_proxy
1940,4.822665,jst_deu_ltrate_affine_proxy
1941,4.767510,jst_deu_ltrate_affine_proxy
1942,4.767510,jst_deu_ltrate_affine_proxy
1943,4.638814,jst_deu_ltrate_affine_proxy
1944,4.886204,jst_deu_ltrate_interpolated_affine_proxy
1945,5.133593,jst_deu_ltrate_interpolated_affine_proxy
1946,5.380983,jst_deu_ltrate_interpolated_affine_proxy
1947,5.628372,jst_deu_ltrate_interpolated_affine_proxy
1948,5.875762,jst_deu_ltrate_affine_proxy
1949,5.446930,jst_deu_ltrate_affine_proxy
1950,5.619014,jst_deu_ltrate_affine_proxy
1951,5.657715,jst_deu_ltrate_affine_proxy
1952,5.135211,jst_deu_ltrate_affine_proxy
1953,5.596768,jst_deu_ltrate_affine_proxy
1954,5.386719,jst_deu_ltrate_affine_proxy
1955,5.343054,jst_deu_ltrate_affine_proxy
1956,7.101034,jst_deu_ltrate_affine_proxy
1957,7.651667,jst_deu_ltrate_affine_proxy
1958,7.009262,jst_deu_ltrate_affine_proxy
1959,6.091541,jst_deu_ltrate_affine_proxy
1960,6.642174,jst_deu_ltrate_affine_proxy
1961,6.183313,jst_deu_ltrate_affine_proxy
