year,annual_return_german_currency_neutral,annual_return_real_usd,annual_return_usd,german_inflation_factor,us_inflation_factor,ppp_fx_factor,annual_return_german_raw_fx_diagnostic,reference_fx_start,reference_fx_end,reference_fx_interpolated,currency_conversion_method,eligible_countries,universe_countries,known_cap_coverage
1900,0.11491535044799006,0.08749939009609964,0.09848027106353241,1.0252100926231027,1.010097367472052,1.0149616518542892,0.09976296136885177,4.1963e-12,4.2012e-12,false,usd_real_return_reinflated_with_german_cpi,13,17,1
1901,0.08237155939157703,0.08237155939157703,0.09306260299856284,1,1.0098774247292635,0.990219184539241,0.088925762241713,4.2012e-12,4.1853e-12,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1902,0.05273932025195305,0.04418046465714087,0.05439340108968205,1.0081967206670759,1.009780815460759,0.9984312488716075,0.056509594569039034,4.1853e-12,4.1937e-12,false,usd_real_return_reinflated_with_german_cpi,14,17,1
1903,-0.08315437929405334,-0.08315437929405334,-0.05640546983244921,1,1.0291749328976543,0.9716521147522396,-0.055797962087152264,4.1937e-12,4.196399999999999e-12,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1904,0.18796515250029633,0.18796515250029633,0.19914568404100663,1,1.0094114979022564,0.990676252527522,0.19411638177260504,4.196399999999999e-12,4.1788e-12,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1905,0.19709489593730578,0.15939112094660968,0.1485812509130704,1.0325203240817578,0.9906762525275221,1.0422378869458901,0.15006549010971337,4.1788e-12,4.184200000000001e-12,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1906,0.11541674694950532,0.05714871162165891,0.07704741738525955,1.0551181065514081,1.0188229958045127,1.035624549991861,0.08507855342617998,4.184200000000001e-12,4.2154e-12,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1907,-0.1913134297520891,-0.18523308100871017,-0.14750987140377125,0.9925373151490899,1.04629938786867,0.9486169318811375,-0.1499568824954861,4.2154e-12,4.203299999999999e-12,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1908,0.2459256573336286,0.2459256573336286,0.2239254808505542,1,0.9823423040102116,1.0179750947482404,0.22209103398039076,4.203299999999999e-12,4.197e-12,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1909,0.21301394243964,0.1775974741482178,0.15630253335961442,1.0300751904355432,0.981916621548457,1.0490454768054962,0.15382297110080168,4.197e-12,4.1879999999999995e-12,false,usd_real_return_reinflated_with_german_cpi,14,17,1
1910,-0.028585440510358273,-0.0627901768587561,-0.019795107777728527,1.0364963485271141,1.0458756065284518,0.9910321476638412,-0.01644818085347377,4.1879999999999995e-12,4.2023e-12,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1911,0.05482010470622356,0.05482010470622356,0.05482010470622356,1,1,1,0.05371565988774152,4.2023e-12,4.197900000000001e-12,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1912,0.058313457973690586,0.043614662007144256,0.07112453816718078,1.0140845050397018,1.0263601855757065,0.9880395978833503,0.07191552558191616,4.197900000000001e-12,4.201e-12,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1913,-0.057445898634808534,-0.06394626908499645,-0.04798315840779388,1.006944441580115,1.0170536264639407,0.990060322660691,-0.045784976221780016,4.201e-12,4.2107e-12,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1914,-0.02568990809891092,-0.051845889859823635,-0.042268575615983406,1.0275862135502907,1.0101010101010102,1.0173103514147877,-0.026506163734393073,4.2107e-12,4.28e-12,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1915,0.42546124582935385,0.13579532524955384,0.1471532785020493,1.255033555905995,1.01,1.2426074810950447,0.3026086293270931,4.28e-12,4.86e-12,false,usd_real_return_reinflated_with_german_cpi,14,17,1
1916,0.327432121470562,0.009064254008421813,0.08899013551403945,1.3155080226035665,1.0792079207920793,1.2189569750730294,0.23687768478137805,4.86e-12,5.519999999999999e-12,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1917,0.16858832246184097,-0.2209411198326252,-0.08514186549152314,1.5000000028377558,1.1743119266055047,1.2773437524165263,0.09053741396119186,5.519999999999999e-12,6.58e-12,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1918,0.2030402524540762,-0.02219855741936949,0.1535001392943376,1.2303522986006152,1.1796875,1.0429476438468792,0.05357687494817154,6.58e-12,6.01e-12,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1919,0.21785760403168686,-0.08307238556587648,0.050519717199360104,1.3281938343445796,1.1456953642384107,1.1592905721735924,2.4539550102927388,6.01e-12,1.976e-11,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1920,0.5939039804427821,-0.35059182416434576,-0.2492391030801684,2.4543946931246388,1.1560693641618498,2.1230514095528124,1.3958999068706772,1.976e-11,6.306e-11,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1921,0.5984386823287886,0.21942745483654558,0.09138757207870807,1.3108108038645452,0.8949999999999998,1.4645930769436262,0.8098065082821202,6.306e-11,1.0457e-10,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1922,14.439251108334833,0.3739516996293897,0.2895189136186451,11.237113438921778,0.9385474860335197,11.972876818851178,22.25474779500592,1.0457e-10,1.88578e-9,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1923,1262778661.541686,0.19457250928197167,0.2159041612334356,1057096704.2433543,1.017857142857143,1038551148.0285585,344890249.1054019,1.88578e-9,0.5349,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1924,8.78992104769049,0.1806797747724167,0.1806797747724167,8.291766537270918,1,8.291766537270918,8.273161624082997,0.5349,4.2011511154056205,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1925,0.3195501860464811,0.20644588642387007,0.234666842831446,1.0937499981519048,1.023391812865497,1.0687499981941468,0.23445939681257255,4.2011511154056205,4.200445247196203,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1926,0.14278997674836225,0.13468508189929462,0.1476529114067151,1.0071428583827868,1.0114285714285713,0.995762713090326,0.14818342838542864,4.200445247196203,4.202386955790889,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1927,0.3732524538036759,0.3083013247368147,0.2861267260124618,1.049645389665815,0.983050847457627,1.0677427239703983,0.28053019130512724,4.202386955790889,4.184100418410042,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1928,0.38579955649032294,0.34933114721986147,0.3260668170953813,1.0270270269426451,0.9827586206896554,1.0450450449591826,0.33163852641090785,4.184100418410042,4.201680672268907,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1929,-0.04689877677841969,-0.05927671514933741,-0.05927671514933741,1.0131578951751818,1,1.0131578951751818,-0.06321279583908901,4.201680672268907,4.184100418410042,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1930,-0.22285085705230478,-0.19134481043316542,-0.210260721300226,0.9610389607021307,0.9766081871345028,0.9840578579644573,-0.2069424890367818,4.184100418410042,4.201680672268907,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1931,-0.3633725360881973,-0.3071995245860095,-0.3694271121980446,0.9189189189447062,0.9101796407185628,1.0096017069984602,-0.36408327416582464,4.201680672268907,4.23728813559322,false,usd_real_return_reinflated_with_german_cpi,14,17,1
1932,-0.08624237833513859,0.027033359744701002,-0.07431861654589444,0.8897058824768871,0.9013157894736842,0.9871189353028237,-0.08209745170097094,4.23728813559322,4.201680672268907,false,usd_real_return_reinflated_with_german_cpi,14,17,1
1933,0.5471251483081732,0.5864588383114508,0.5053988976678001,0.9752066116980743,0.9489051094890512,1.0277177369433552,-0.039965333212924725,4.201680672268907,2.679528403001072,false,usd_real_return_reinflated_with_german_cpi,14,17,1
1934,0.10675313134599573,0.07931297120616221,0.11252260108942869,1.0254237286791508,1.0307692307692307,0.9948140651364896,0.033076473566993725,2.679528403001072,2.488181139586962,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1935,0.2774248544452651,0.2566537195753835,0.28478775807334,1.016528924831337,1.0223880597014927,0.9942691673532783,0.2838294380151052,2.488181139586962,2.486325211337643,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1936,0.2785121684427809,0.26820158546601647,0.28671547722464474,1.0081300820744328,1.0145985401459856,0.9936246132676062,0.2863956374341341,2.486325211337643,2.4857071836937608,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1937,-0.2559485237003778,-0.26190093573422346,-0.23535060968149768,1.008064516434209,1.0359712230215827,0.9730622762802434,-0.23667878480115756,2.4857071836937608,2.481389578163772,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1938,0.09127138049199135,0.08261049722263825,0.060056111863833195,1.00799999934563,0.9791666666666666,1.0294468078423455,0.04706522814001168,2.481389578163772,2.450980392156863,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1939,0.011908384381757786,0.011908384381757786,-0.0024449260350046798,1,0.9858156028368795,1.014388489208633,0.014968753560393955,2.450980392156863,2.4937655860349124,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1940,-0.047575177408218816,-0.07688055702265972,-0.0702394099508803,1.03174603225767,1.0071942446043165,1.0243764177415438,-0.06744873284217834,2.4937655860349124,2.5012506253126565,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1941,0.013459138693241668,-0.009400842110416585,0.04012911578406264,1.0230769233161476,1.05,0.9743589745868072,0.03519769740201428,2.5012506253126565,2.4893917963224896,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1942,0.04485088208255794,0.014344286585981747,0.12474910689466023,1.0300751883753922,1.108843537414966,0.9289635134428383,0.12474910689466023,2.4893917963224896,2.4893917963224896,false,usd_real_return_reinflated_with_german_cpi,15,17,1
1943,0.11748779273428411,0.10939005547085245,0.17745079507029127,1.007299269741511,1.0613496932515338,0.9490738784269728,0.17745079507029127,2.4893917963224896,2.4893917963224896,false,usd_real_return_reinflated_with_german_cpi,16,17,1
1944,0.148869068042502,0.1244250455666509,0.14392374577878964,1.021739130209015,1.017341040462428,1.004323122307725,0.14392374577878964,2.4893917963224896,2.4893917963224896,false,usd_real_return_reinflated_with_german_cpi,15,17,1
